SampleID,S884 ,S865 ,S847 ,S578 ,S573 ,S402 ,S339 ,S329 ,S2971 ,S2967 ,S2927 ,S2883 ,S2846 ,S2817 ,S2726 ,S2680 ,S2663 ,S2632 ,S2627 ,S2608 ,S2601 ,S2600 ,S2593 ,S2527 ,S2468 ,S2452 ,S2429 ,S2345 ,S2289 ,S2270 ,S2269 ,S2221 ,S2216 ,S2148 ,S2146 ,S201 ,S1972 ,S1969 ,S1922 ,S1914 ,S179 ,S1708 ,S1531 ,S134 ,S117 
S2846 ,0.428291018,0.426473127,0.623142203,0.376968443,0.617391907,0.546141481,0.570976048,0.540934751,0.628447326,0.442501508,0.341147305,0.525094392,0,0.433303456,0.275299645,0.468801795,0.523631077,0.334973346,0.529755871,0.572015971,0.495525979,0.405483346,0.271789234,0.432114266,0.629637056,0.459208962,0.576804527,0.640527757,0.376775826,0.492660527,0.509974208,0.506533533,0.654201324,0.41756169,0.590933714,0.499879725,0.608077898,0.55143134,0.446320949,0.574408134,0.415877851,0.564178202,0.314653845,0.469426987,0.394520709
S2817 ,0.682537203,0.694118854,0.822862539,0.643892357,0.885605476,0.773726562,0.831066776,0.7377841,0.822747711,0.687612974,0.619499517,0.744604231,0.433303456,0,0.645358724,0.692194955,0.71903881,0.640414792,0.76753513,0.756451598,0.689176319,0.333023371,0.535288873,0.665052616,0.834585874,0.712122683,0.780247567,0.897951399,0.503077199,0.777134395,0.732697836,0.688755025,0.844140155,0.723221187,0.782409127,0.746945291,0.884958864,0.781110854,0.706693695,0.779152643,0.6312819,0.808032339,0.595344066,0.706060139,0.683325636
S2726 ,0.468789769,0.380730541,0.651481788,0.255607637,0.647084421,0.566418716,0.604604754,0.578760135,0.648469518,0.515168566,0.276533581,0.553492993,0.275299645,0.645358724,0,0.523054659,0.608516189,0.425199146,0.560246826,0.611120223,0.560442806,0.471216239,0.272135026,0.492636246,0.659095155,0.471611256,0.608192012,0.66865527,0.395882203,0.519264449,0.558698323,0.552291076,0.682538411,0.436317484,0.628583228,0.500147613,0.63624046,0.550939205,0.49392873,0.624915672,0.513209571,0.580823389,0.286148993,0.475450285,0.427288159
S2680 ,0.201222889,0.305159355,0.256211685,0.466118457,0.362153014,0.190106045,0.276939506,0.165739154,0.228751948,0.247878556,0.381625476,0.233443881,0.468801795,0.692194955,0.523054659,0,0.209995648,0.32594808,0.192478759,0.228750056,0.645004864,0.569570763,0.462713383,0.168822834,0.244456514,0.23325954,0.19928951,0.333390617,0.566845488,0.280347914,0.154142519,0.223668046,0.245263342,0.275078675,0.231460036,0.16015223,0.3922708,0.286583399,0.275532408,0.242908444,0.170787824,0.262631868,0.380933853,0.198435429,0.23066388
S2663 ,0.27513807,0.344824322,0.210068506,0.530015745,0.326721902,0.209625062,0.22163091,0.19046466,0.193721518,0.28238811,0.489446638,0.303085211,0.523631077,0.71903881,0.608516189,0.209995648,0,0.333714173,0.253586436,0.254115962,0.634670284,0.674282042,0.570916394,0.232098536,0.197780297,0.290364772,0.191663621,0.291166226,0.622829375,0.300888462,0.172787247,0.217393594,0.220609005,0.318837897,0.21970359,0.223372792,0.355482565,0.340597869,0.335387331,0.20706942,0.232478114,0.215788084,0.470193677,0.256645884,0.303172787
S2632 ,0.255001456,0.292156033,0.439796054,0.406341101,0.424465585,0.395175995,0.371358786,0.374306936,0.397959307,0.269251664,0.388066818,0.325138768,0.334973346,0.640414792,0.425199146,0.32594808,0.333714173,0,0.311718618,0.394092021,0.513699102,0.521533246,0.415810567,0.23733736,0.429683642,0.265905149,0.364447935,0.439377905,0.441096837,0.350790894,0.32807806,0.324690545,0.43114741,0.249910042,0.414062279,0.335931709,0.445416802,0.366757199,0.286280886,0.382283603,0.303930007,0.342965658,0.345323955,0.300363604,0.264940932
S2627 ,0.247678875,0.337889563,0.282569222,0.50388065,0.325821422,0.2301463,0.270246134,0.211840807,0.242542693,0.178389983,0.468092085,0.194562863,0.529755871,0.76753513,0.560246826,0.192478759,0.253586436,0.311718618,0,0.201825021,0.616261387,0.608604513,0.544884176,0.244743144,0.260487204,0.281123395,0.175191452,0.337244091,0.616804012,0.263762729,0.194069918,0.247262293,0.259258656,0.245848843,0.257598268,0.190137725,0.363688483,0.305088827,0.261178221,0.253383626,0.239994053,0.186041331,0.447744646,0.251949629,0.26750847
S2608 ,0.308067266,0.376614188,0.237419873,0.521619748,0.371243445,0.198331139,0.311153222,0.202600958,0.226593069,0.236111364,0.515744063,0.168056006,0.572015971,0.756451598,0.611120223,0.228750056,0.254115962,0.394092021,0.201825021,0,0.650362175,0.638348246,0.554132362,0.25670797,0.247632023,0.288016178,0.151393517,0.339195883,0.676364886,0.300047506,0.224596978,0.270731684,0.253140173,0.337389558,0.199282624,0.213980365,0.393537339,0.331709986,0.280291663,0.185117633,0.281900129,0.229580197,0.486094173,0.281805014,0.292495792
S2601 ,0.611602833,0.594507697,0.733960691,0.593677133,0.775296785,0.693343454,0.722295682,0.673270967,0.69480837,0.580302282,0.59569586,0.607410401,0.495525979,0.689176319,0.560442806,0.645004864,0.634670284,0.513699102,0.616261387,0.650362175,0,0.635259843,0.573600161,0.611021457,0.731162797,0.612738094,0.65470732,0.784304282,0.566364197,0.642215423,0.641456522,0.600717477,0.716505051,0.605401449,0.702264072,0.659423203,0.773433903,0.472927706,0.60240755,0.664317828,0.617059507,0.643304826,0.549635724,0.640553336,0.593643084
S2600 ,0.510931204,0.50278514,0.72436481,0.42858112,0.775331741,0.642027251,0.727857039,0.622209902,0.699899007,0.567302812,0.445845713,0.6103224,0.405483346,0.333023371,0.471216239,0.569570763,0.674282042,0.521533246,0.608604513,0.638348246,0.635259843,0,0.326394069,0.519407218,0.723061628,0.517564573,0.646562597,0.802390217,0.411162581,0.687038611,0.606156178,0.596849174,0.737043235,0.564301278,0.683613891,0.594206358,0.792959589,0.687410844,0.520217117,0.673723872,0.536048799,0.680082967,0.409509625,0.552241268,0.526815663
